start_lon,start_lat,start_district,end_lon,end_lat,end_district,velocity,line
21.041809,52.241951,Praga Północ,21.041807,52.241955,Praga Północ,0.16745719646538443,202
21.128759,52.240196,Praga Południe,21.128759,52.240196,Praga Południe,0.0,202
21.0053982,52.2294322,Śródmieście,21.0054022,52.2294339,Śródmieście,0.10851936308580416,507
20.914919,52.283188,Bielany,20.91543,52.2831,Bielany,13.00016749521141,250
20.881058,52.298813,Bielany,20.881168,52.298992,Bielany,6.378905528507105,110
20.928421,52.292503,Bielany,20.927637,52.291821,Bielany,33.373388842697594,150
20.993446,52.178856,Mokotów,20.993446,52.178856,Mokotów,0.0,402
20.9638858,52.2078758,Ochota,20.9638858,52.2078758,Ochota,0.0,521
21.121811,52.232511,Praga Południe,21.125769,52.232543,Wawer,97.04600950228361,520
20.9295491,52.2711415,Bielany,20.9309878,52.270904,Bielany,36.50160115724948,171
20.9007648,52.2390003,Bemowo,20.9007739,52.2389828,Bemowo,0.6683518598096437,105
20.9882508,52.2165633,Ochota,20.9872888,52.216401,Ochota,24.471868705660356,523
20.915288,52.229848,Bemowo,20.915189,52.230371,Bemowo,17.563351352479845,177
20.881475,52.198241,Ursus,20.881475,52.198241,Ursus,0.0,716
20.921288,52.196976,Włochy,20.921288,52.196976,Włochy,0.0,190
20.919913,52.196661,Włochy,20.921161,52.197076,Włochy,17.41878064049168,189
20.9491061,52.1921523,Włochy,20.9486018,52.1922264,Włochy,11.568720613712452,189
20.9494342,52.1919025,Włochy,20.9499707,52.1918171,Włochy,12.365383060682834,189
21.0516214,52.2257992,Praga Południe,21.0534325,52.2261656,Praga Południe,42.51667032090615,523
20.9400083,52.2817258,Bielany,20.9399345,52.281287,Bielany,17.657977077474605,184
20.883308,52.196411,Ursus,20.883308,52.196411,Ursus,0.0,517
21.0053022,52.2296115,Śródmieście,21.005308,52.2296101,Śródmieście,0.1389557480226853,507
21.0949589,52.2350152,Praga Południe,21.0963446,52.2348912,Praga Południe,31.21074683539063,182
21.0774551,52.226077,Praga Południe,21.0767034,52.2260182,Praga Południe,16.892419377049535,507
21.1176981,52.2329437,Praga Południe,21.1176412,52.2328274,Praga Południe,4.418198495971399,521
21.116309,52.233516,Praga Południe,21.116309,52.233516,Praga Południe,0.0,523
21.1171373,52.2342361,Praga Południe,21.1171376,52.2342358,Praga Południe,0.01173521077428457,521
21.1559855,52.2402902,Wawer,21.155986,52.2402902,Wawer,0.0102135531210934,402
21.1132154,52.235825,Praga Południe,21.1132168,52.2358384,Praga Południe,0.4479176597742459,182
21.2111426,52.1611999,Wawer,21.2111369,52.1612057,Wawer,0.22591928060377114,521
20.9799228,52.2147518,Ochota,20.9799353,52.2147556,Ochota,0.3111322036972855,521
20.9122125,52.2527273,Bemowo,20.9125061,52.2517178,Bemowo,20.52299015561866,523
21.1562648,52.2403594,Wawer,21.1562748,52.2403613,Wawer,0.23332120255636898,520
21.000216,52.291479,Praga Północ,21.000216,52.291479,Praga Północ,0.0,145
21.081275,52.250469,Praga Południe,21.08189,52.250405,Praga Południe,13.898134777618901,202
21.054321,52.226453,Praga Południe,21.054321,52.226453,Praga Południe,0.0,525
20.8983078,52.2585475,Bemowo,20.8983035,52.2585526,Bemowo,0.22973820467497363,523
21.0897663,52.2311111,Praga Południe,21.0897036,52.2311031,Praga Południe,1.3085463835036588,151
20.960556,52.278931,Bielany,20.959532,52.28001,Bielany,41.62111077261464,850
20.9282407,52.290887,Bielany,20.9282097,52.2908832,Bielany,0.5954724921086181,150
21.0155549,52.222677,Śródmieście,21.0155727,52.2226556,Śródmieście,0.8740382444690746,151
21.10189,52.242474,Praga Południe,21.10189,52.242474,Praga Południe,0.0,145
21.0844431,52.2864997,Targówek,21.0853027,52.2864694,Targówek,21.083945873884108,145
20.9442556,52.1755142,Włochy,20.9442501,52.1755092,Włochy,0.21948396314039298,141
21.229063,52.250214,Wesoła,21.225963,52.250315,Wesoła,69.16296395372302,514
21.116644,52.233693,Praga Południe,21.116644,52.233693,Praga Południe,0.0,148
21.1168679,52.2335269,Praga Południe,21.1167506,52.2335996,Praga Południe,3.4094634922078386,E-1
21.1166482,52.2334262,Praga Południe,21.1166449,52.2334227,Praga Południe,0.14707903915485268,704
21.046351,52.237036,Praga Południe,21.046351,52.237036,Praga Południe,0.0,507
21.24011,52.216348,Wesoła,21.24011,52.216348,Wesoła,0.0,502
21.062418,52.246728,Praga Południe,21.062418,52.246728,Praga Południe,0.0,125
21.030843,52.233921,Śródmieście,21.030021,52.23463,Śródmieście,23.20543730741427,162
20.9387518,52.3014906,Bielany,20.9389221,52.3011571,Bielany,13.985798937720736,150
21.1281802,52.2336549,Wawer,21.1277706,52.2339989,Praga Południe,14.202429713348003,525
21.128428,52.233403,Wawer,21.128428,52.233403,Wawer,0.0,704
